Study_Hours,Attendance_Percentage,Assignment_Score,Quiz_Score,Project_Score,Midterm_Exam,Course_Work_Score,Final_Exam_Score,Status
2.4,72.6,40.7,31.1,37.1,48.9,36.4,29.3,Fail
5.1,64.2,46.4,48.7,46.2,52.3,47.0,46.2,Fail
6.0,51.1,53.3,33.7,34.1,33.1,39.7,34.0,Fail
8.5,50.1,54.9,50.7,61.2,68.0,56.2,58.9,Pass
7.8,71.8,55.3,48.2,63.6,58.7,56.5,51.4,Pass
6.4,68.5,53.5,57.1,56.4,51.1,55.7,50.8,Pass
1.5,63.3,48.8,32.4,50.3,43.5,44.5,26.8,Fail
6.6,71.8,65.2,49.3,64.1,51.9,60.0,41.0,Pass
6.9,56.4,46.9,44.8,50.9,22.7,47.9,30.6,Fail
22.6,80.7,88.8,92.8,83.8,100.0,88.0,97.9,Pass
5.9,70.5,62.9,54.0,50.9,61.1,55.4,52.9,Pass
8.0,75.5,62.8,51.8,60.9,61.3,58.7,62.3,Pass
12.5,72.9,55.6,45.1,62.3,50.9,55.1,63.6,Pass
10.2,60.8,51.5,43.8,71.4,65.8,57.2,61.5,Pass
14.2,79.8,65.4,73.2,75.4,79.2,71.7,78.3,Pass
2.4,63.3,40.5,22.1,45.1,40.3,36.8,42.8,Fail
3.4,55.6,46.4,29.7,51.4,24.4,43.4,21.2,Fail
4.6,49.7,59.2,32.0,49.0,34.6,47.0,37.1,Fail
2.1,67.1,43.7,34.3,43.6,28.9,40.8,31.3,Fail
7.0,63.5,58.3,42.8,66.0,59.0,56.7,58.3,Pass
3.6,65.8,56.0,39.7,52.7,47.0,49.8,33.2,Fail
15.2,79.4,86.1,58.6,75.6,72.0,73.6,89.7,Pass
4.0,55.6,53.8,29.8,48.2,32.9,44.4,33.2,Fail
5.4,69.8,45.8,60.3,48.8,47.6,51.4,34.8,Fail
10.6,65.8,49.3,67.3,55.5,65.6,57.2,58.1,Pass
2.8,51.4,36.0,38.6,46.4,44.3,40.9,40.3,Fail
2.0,49.4,40.2,37.2,35.9,25.3,37.6,24.3,Fail
7.4,68.9,49.5,50.8,51.0,57.5,50.5,46.8,Pass
7.8,82.1,47.2,52.0,62.0,56.0,54.6,65.8,Pass
10.4,72.8,52.9,48.1,70.8,36.1,58.6,57.0,Pass
9.0,85.1,87.6,69.0,55.2,60.1,69.1,57.6,Pass
8.0,81.2,58.6,69.5,57.5,64.9,61.4,60.2,Pass
4.3,69.3,63.8,36.6,37.5,37.9,45.1,45.7,Fail
7.7,81.8,58.1,62.1,38.4,63.1,51.4,66.5,Pass
7.9,81.2,66.5,48.6,63.9,65.3,60.1,53.6,Pass
4.2,74.5,49.6,35.5,43.1,56.8,42.8,51.7,Fail
17.6,66.0,75.1,66.0,83.1,70.8,75.6,95.4,Pass
8.8,68.7,64.4,47.8,52.7,68.0,54.7,54.4,Pass
3.4,58.5,41.1,42.2,48.9,40.6,44.6,39.0,Fail
10.4,81.8,55.8,54.0,68.7,51.8,60.4,63.1,Pass
11.4,71.2,57.7,65.2,59.0,64.2,60.5,63.1,Pass
8.5,84.2,55.8,47.8,60.4,58.6,55.2,50.6,Pass
5.7,67.7,52.4,43.6,54.6,44.1,50.6,36.6,Fail
4.0,64.6,32.2,29.4,50.1,31.2,38.5,33.2,Fail
6.4,64.7,54.7,33.2,63.7,50.9,51.9,40.7,Fail
8.2,68.4,67.1,53.1,61.8,55.8,60.8,42.4,Pass
6.7,70.2,50.4,47.9,55.4,47.6,51.6,37.7,Fail
14.5,76.9,66.8,61.6,74.4,66.9,68.3,69.1,Pass
9.6,67.8,75.3,44.4,62.1,42.3,60.8,50.6,Pass
3.7,61.2,57.5,27.6,45.4,54.3,43.7,37.0,Fail
3.2,78.4,53.3,44.5,45.7,43.6,47.6,32.2,Fail
8.8,86.5,57.6,49.4,68.1,70.0,59.3,70.6,Pass
5.8,63.2,55.2,57.9,46.8,59.3,52.6,39.8,Fail
10.0,78.8,55.6,58.0,66.2,73.8,60.6,65.8,Pass
8.8,63.9,46.2,54.8,56.7,62.7,53.0,66.3,Pass
6.4,65.1,55.9,57.8,58.9,53.3,57.7,49.2,Pass
3.8,55.9,40.5,29.6,46.3,23.9,39.6,48.5,Fail
2.2,70.8,29.5,41.3,39.2,55.1,36.9,43.9,Fail
7.6,73.0,61.8,54.2,52.1,46.0,55.6,47.6,Pass
2.8,68.8,57.9,33.4,56.6,54.4,50.0,37.0,Fail
3.7,71.5,54.1,26.9,48.3,40.7,43.6,44.1,Fail
7.3,61.8,49.1,26.8,63.8,58.4,48.3,56.3,Pass
6.9,65.7,36.4,38.2,34.2,58.5,36.1,55.2,Fail
3.0,67.2,47.3,48.2,48.9,45.7,48.2,32.6,Fail
12.1,71.8,60.5,52.3,73.4,70.2,63.2,65.8,Pass
12.0,75.0,59.3,68.5,68.6,67.7,65.8,56.4,Pass
9.0,64.4,41.7,43.8,58.3,56.6,49.0,54.4,Pass
9.0,81.4,77.4,55.3,71.2,62.8,68.3,62.7,Pass
9.0,78.3,52.7,58.9,68.4,63.3,60.8,54.2,Pass
11.4,83.6,53.3,70.0,72.8,69.4,66.1,65.0,Pass
9.7,76.9,76.0,51.2,75.5,50.5,68.4,54.1,Pass
4.0,56.0,45.0,31.8,42.4,36.2,40.0,38.0,Fail
5.7,63.0,49.3,25.2,63.3,49.5,47.7,35.5,Fail
21.3,79.9,89.0,77.7,83.4,93.8,83.4,94.2,Pass
1.6,59.9,44.7,63.1,49.3,38.4,52.1,20.8,Fail
4.9,74.3,53.8,42.1,56.9,43.3,51.5,40.2,Fail
12.2,62.9,51.2,44.5,79.2,69.0,60.4,69.2,Pass
4.2,60.4,33.8,37.7,47.8,48.0,40.6,44.6,Fail
9.8,68.6,54.3,60.1,66.2,40.1,60.8,56.7,Pass
6.9,57.8,47.1,39.0,40.3,34.5,42.0,37.8,Fail
4.3,66.8,45.8,31.1,55.6,42.3,45.3,47.9,Fail
1.3,58.8,42.1,55.2,43.3,40.9,46.5,45.9,Fail
7.5,77.9,56.1,54.3,65.4,60.2,59.3,53.0,Pass
3.9,62.5,41.1,53.0,40.3,42.5,44.3,39.0,Fail
6.2,71.1,56.9,42.8,52.5,58.6,50.9,48.4,Pass
8.9,71.6,65.0,68.4,63.5,66.0,65.4,56.4,Pass
10.9,53.2,51.3,60.4,57.8,57.5,56.6,53.0,Pass
4.9,54.4,35.2,44.0,47.3,41.7,42.7,43.0,Fail
4.3,68.2,50.5,30.5,51.9,32.5,45.1,45.7,Fail
2.7,65.9,41.8,30.8,42.4,40.5,38.7,24.8,Fail
11.2,72.9,71.0,61.9,66.0,71.1,66.3,71.3,Pass
19.6,94.2,79.6,78.5,85.3,88.6,81.6,88.5,Pass
11.8,78.2,57.4,63.9,87.6,69.7,71.4,71.3,Pass
13.3,88.5,68.1,62.1,78.1,79.0,70.3,79.2,Pass
4.2,45.4,46.2,39.4,55.4,45.9,47.8,41.4,Fail
8.6,84.2,59.6,49.1,57.4,58.9,55.6,60.4,Pass
10.4,67.6,60.4,58.8,62.4,54.4,60.7,55.7,Pass
0.3,60.6,34.8,21.7,35.8,28.1,31.3,23.3,Fail
3.3,73.5,56.8,37.5,54.3,46.7,50.0,50.8,Fail
15.8,62.0,74.1,63.3,74.6,76.6,71.1,78.3,Pass
2.4,60.9,30.9,27.4,34.3,23.2,31.2,32.6,Fail
14.5,85.5,81.9,62.5,82.4,75.1,76.3,75.2,Pass
2.4,57.9,46.9,37.3,45.6,27.9,43.5,28.7,Fail
3.4,71.4,56.9,46.7,53.1,44.9,52.3,47.6,Fail
8.7,75.9,55.9,55.4,69.9,63.3,61.4,51.1,Pass
7.0,69.8,47.4,52.4,62.3,62.9,54.9,53.7,Pass
5.2,71.0,51.0,45.0,64.7,60.1,54.7,47.3,Pass
15.5,89.0,79.0,65.1,83.8,86.4,76.8,93.9,Pass
2.8,68.2,55.5,22.7,55.2,36.0,45.5,47.5,Fail
6.1,74.8,59.7,42.4,56.0,47.3,53.0,52.6,Pass
9.4,64.2,59.3,50.6,61.4,62.0,57.5,69.4,Pass
7.9,74.1,57.0,45.3,64.1,63.4,56.3,48.5,Pass
4.4,69.2,49.7,56.0,47.7,36.4,50.8,16.5,Fail
4.5,74.4,48.2,46.0,53.1,69.6,49.5,54.2,Pass
10.8,63.7,66.1,53.9,54.5,65.3,57.8,68.6,Pass
11.1,81.9,55.2,64.8,76.5,76.4,66.6,66.7,Pass
8.0,62.6,54.8,66.5,65.2,59.6,62.5,49.0,Pass
3.8,83.3,60.9,41.7,47.5,39.2,49.8,42.6,Fail
4.6,58.4,37.6,31.0,54.5,38.1,42.4,48.8,Fail
6.6,58.6,66.3,47.1,61.2,41.8,58.5,46.2,Pass
7.2,66.3,45.7,37.1,56.9,36.4,47.6,51.8,Fail
9.2,79.4,58.2,46.5,66.4,50.5,58.0,62.8,Pass
5.9,69.9,61.0,58.3,59.7,67.4,59.7,56.9,Pass
10.6,86.2,78.7,71.5,62.5,67.6,70.1,75.5,Pass
10.6,70.3,65.1,61.7,81.1,71.6,70.5,60.1,Pass
13.5,72.3,71.3,66.3,56.5,67.0,63.9,65.6,Pass
6.8,62.3,66.6,34.5,45.7,42.7,48.6,40.4,Fail
8.1,65.5,44.9,41.9,63.4,67.5,51.4,59.2,Pass
6.1,56.1,35.2,54.4,54.5,45.9,48.7,54.1,Pass
3.9,59.5,30.3,33.9,56.3,39.0,41.8,42.1,Fail
19.4,73.6,74.1,68.9,83.8,89.8,76.4,71.8,Pass
12.6,80.9,63.7,61.2,65.0,77.6,63.5,97.5,Pass
10.4,84.3,69.1,64.1,69.8,62.9,67.9,67.5,Pass
6.6,69.7,62.2,45.1,63.1,32.3,57.4,52.2,Pass
3.6,58.9,52.1,36.0,42.1,50.7,43.3,43.9,Fail
11.5,79.8,74.0,40.6,63.3,70.6,59.7,57.8,Pass
6.1,67.0,44.6,44.5,53.0,41.9,47.9,48.6,Fail
8.5,78.3,63.6,62.3,58.3,59.5,61.1,48.2,Pass
4.6,58.0,40.7,39.0,45.6,54.7,42.2,46.7,Fail
7.7,62.2,58.9,66.1,52.0,68.7,58.3,60.6,Pass
4.8,71.6,51.4,37.0,56.9,44.2,49.3,50.8,Fail
4.9,65.7,56.6,37.8,48.9,59.2,47.9,44.3,Fail
7.7,76.7,77.4,45.1,59.9,56.8,60.7,35.4,Fail
2.3,55.9,41.1,27.7,47.0,28.7,39.4,27.5,Fail
2.4,66.3,35.9,41.7,36.8,35.3,38.0,38.6,Fail
4.1,69.3,35.9,38.9,42.2,60.9,39.3,47.1,Fail
5.8,54.7,40.8,58.9,50.3,52.0,50.0,45.0,Fail
10.8,72.9,72.0,59.2,61.0,56.3,63.8,58.0,Pass
6.0,51.1,51.2,33.1,57.9,52.9,48.4,51.8,Pass
6.6,79.7,59.0,40.5,52.3,64.1,50.8,67.1,Pass
5.6,56.2,51.1,56.4,48.8,42.8,51.8,40.6,Fail
8.1,68.2,62.4,51.9,53.3,60.1,55.6,61.8,Pass
3.8,64.5,34.5,51.2,56.6,56.7,48.4,51.5,Pass
6.2,59.7,58.2,44.2,45.4,37.4,48.9,35.5,Fail
8.4,84.9,65.4,54.8,78.8,45.6,67.6,46.6,Pass
7.6,63.6,42.8,59.7,54.8,48.0,52.7,58.1,Pass
6.7,65.9,55.9,49.6,53.9,35.7,53.2,37.4,Fail
6.8,62.6,42.0,48.9,37.7,39.5,42.3,42.3,Fail
8.9,65.1,61.4,47.2,71.4,66.8,61.1,62.2,Pass
19.9,83.0,85.7,87.4,92.1,85.8,88.8,86.4,Pass
4.0,70.4,41.0,40.7,40.9,44.6,40.9,39.6,Fail
20.2,85.5,89.4,75.8,86.8,100.0,84.3,100.0,Pass
3.9,58.6,51.9,57.6,35.8,53.8,47.2,27.1,Fail
1.2,61.4,36.2,30.3,35.6,37.6,34.2,31.4,Fail
4.7,54.7,52.1,31.9,46.9,22.1,44.0,21.2,Fail
8.2,79.3,58.0,63.1,73.7,60.1,65.8,53.5,Pass
17.6,77.1,85.3,79.1,100.0,91.9,89.3,88.3,Pass
3.6,60.7,44.6,32.1,50.1,41.9,43.1,20.6,Fail
8.9,55.1,63.7,47.6,46.2,58.5,51.9,51.5,Pass
2.6,59.1,35.6,41.5,59.1,32.3,46.8,19.8,Fail
17.3,94.2,75.8,78.5,73.4,90.2,75.6,79.1,Pass
12.7,80.1,63.1,70.0,77.4,78.7,70.9,73.7,Pass
4.9,74.8,53.3,44.4,54.7,62.0,51.2,57.5,Pass
13.9,77.6,69.9,72.3,82.4,69.5,75.6,79.2,Pass
6.2,46.5,48.6,37.5,42.1,37.3,42.7,34.0,Fail
13.1,76.3,59.8,57.1,77.7,85.6,66.1,67.4,Pass
6.7,69.6,48.5,56.6,65.4,50.3,57.7,47.0,Pass
6.9,75.4,66.6,51.6,62.9,57.0,60.6,58.4,Pass
5.0,65.7,52.7,48.6,51.7,49.4,51.1,47.4,Fail
9.5,65.2,63.5,63.2,68.3,59.6,65.3,49.5,Pass
7.2,67.8,52.7,42.6,65.6,70.1,54.8,52.9,Pass
9.0,68.1,60.8,56.6,57.5,56.5,58.2,49.6,Pass
2.2,66.8,40.6,57.4,40.6,48.4,45.6,15.1,Fail
13.4,75.3,54.6,61.9,65.4,68.5,61.1,79.9,Pass
15.2,70.3,79.8,55.2,59.7,91.4,64.4,87.0,Pass
7.2,73.2,57.8,56.5,65.1,48.2,60.3,61.5,Pass
19.1,77.0,75.4,61.3,83.7,92.5,74.5,100.0,Pass
16.7,77.5,76.7,61.2,77.8,60.0,72.5,77.5,Pass
9.7,67.9,56.0,53.4,58.1,57.3,56.1,65.8,Pass
14.0,78.7,83.6,65.2,79.4,80.1,76.4,75.0,Pass
12.0,63.4,68.4,58.9,61.2,51.8,62.7,62.9,Pass
1.8,62.4,33.1,54.4,48.2,35.3,45.5,26.7,Fail
5.6,75.4,43.6,46.9,51.6,80.1,47.8,57.4,Pass
10.0,72.8,63.8,50.0,56.4,52.2,56.7,62.0,Pass
15.8,73.6,74.8,62.4,81.0,80.3,73.6,85.7,Pass
2.5,60.1,47.2,31.4,38.5,24.2,39.0,9.9,Fail
1.9,64.6,42.0,24.4,43.6,26.8,37.4,35.3,Fail
6.4,72.2,49.3,52.2,62.1,56.7,55.3,40.8,Fail
1.3,73.6,48.8,39.0,47.1,37.2,45.2,27.9,Fail
6.3,54.6,53.7,46.7,51.5,39.5,50.7,27.5,Fail
8.3,72.1,68.3,58.5,58.7,54.0,61.5,48.6,Pass
3.5,65.7,52.6,44.7,50.1,52.9,49.2,52.6,Pass
6.4,67.1,46.2,33.4,49.2,47.4,43.6,49.4,Fail
11.4,76.5,67.8,56.7,72.3,72.3,66.3,69.1,Pass
4.7,63.8,46.3,39.1,47.2,29.1,44.5,51.1,Fail
3.9,56.7,37.2,50.2,43.3,36.9,43.5,29.7,Fail
6.2,69.1,38.8,59.1,45.7,48.3,47.6,48.4,Fail
3.3,69.2,65.3,35.7,55.1,35.9,52.3,45.1,Fail
18.3,81.6,76.6,66.7,80.1,85.7,75.0,96.7,Pass
6.8,76.6,55.6,50.5,50.9,52.3,52.2,55.7,Pass
4.2,63.1,49.1,37.1,45.2,49.7,43.9,50.6,Fail
7.6,72.8,57.9,49.2,64.9,65.7,58.1,63.6,Pass
6.2,54.8,28.7,53.3,51.0,41.7,45.0,47.3,Fail
5.8,84.9,55.7,51.4,43.6,65.9,49.6,44.5,Pass
4.7,63.8,62.7,37.0,47.1,38.0,48.8,39.3,Fail
4.6,61.6,46.0,34.6,58.7,44.5,47.7,49.0,Fail
2.2,60.5,55.6,22.0,54.2,23.9,45.0,22.0,Fail
13.9,69.1,68.8,67.9,62.3,69.7,65.9,66.3,Pass
9.3,61.8,54.3,53.4,64.7,70.9,58.2,61.0,Pass
8.0,69.9,58.1,55.1,49.0,57.8,53.6,62.7,Pass
6.2,68.4,53.2,45.6,48.8,48.3,49.2,39.9,Fail
3.5,66.0,46.9,29.7,40.6,23.5,39.2,25.4,Fail
4.0,64.5,42.7,40.4,53.1,42.8,46.2,24.1,Fail
2.4,62.2,32.5,46.1,43.1,40.1,40.8,27.5,Fail
4.4,55.7,50.0,39.1,50.7,37.4,47.0,42.9,Fail
3.2,59.9,45.1,51.8,31.8,38.1,41.8,28.3,Fail
16.2,80.7,89.9,73.1,88.0,81.1,84.1,74.3,Pass
11.0,68.9,62.4,74.1,76.3,65.9,71.5,60.8,Pass
7.0,70.7,43.1,66.5,57.0,53.7,55.7,47.5,Pass
3.7,63.4,49.0,30.9,61.9,51.9,48.7,47.6,Fail
3.3,62.8,46.0,32.1,52.8,31.0,44.6,23.0,Fail
5.9,68.7,49.0,41.0,66.2,63.4,53.5,38.4,Fail
11.2,77.3,70.5,43.6,67.3,63.2,61.2,73.4,Pass
2.4,68.5,49.3,41.6,49.5,45.5,47.1,40.7,Fail
9.2,86.9,54.9,60.9,61.1,74.8,59.2,55.7,Pass
4.3,72.1,46.5,44.2,41.2,48.5,43.7,51.8,Fail
4.9,54.0,54.8,28.3,42.5,41.0,41.9,22.9,Fail
6.9,59.6,43.8,59.4,53.9,52.4,52.5,55.5,Pass
3.8,62.4,44.9,22.0,38.5,22.9,35.5,40.1,Fail
5.7,60.7,51.4,30.8,52.0,21.7,45.5,47.0,Fail
3.6,67.4,38.2,47.7,32.2,50.8,38.7,31.6,Fail
4.6,69.5,49.3,45.3,49.2,43.9,48.1,41.1,Fail
10.3,68.5,60.1,49.3,64.9,53.6,58.8,45.9,Pass
7.1,78.0,55.0,50.6,54.5,58.2,53.5,64.8,Pass
10.2,83.9,53.3,59.6,64.3,65.2,59.6,69.2,Pass
4.3,50.7,43.8,47.7,44.4,29.1,45.2,33.4,Fail
9.3,59.7,51.6,39.4,54.7,63.6,49.2,51.4,Pass
2.0,71.2,53.9,39.8,50.0,50.5,48.1,36.2,Fail
6.9,75.2,59.7,58.7,47.1,57.6,54.4,52.6,Pass
9.6,75.5,55.6,46.0,55.0,62.7,52.5,70.0,Pass
1.9,62.4,39.4,34.3,35.9,36.8,36.5,37.3,Fail
4.3,64.3,48.9,40.0,47.9,45.1,45.8,37.6,Fail
6.9,72.6,52.4,33.8,69.7,55.6,53.7,44.9,Pass
11.7,75.5,53.9,62.2,70.8,63.9,63.2,69.2,Pass
4.6,76.0,54.3,47.3,42.2,56.3,47.4,53.5,Pass
9.1,65.5,62.1,64.9,61.8,60.4,62.8,65.5,Pass
14.5,77.5,78.2,66.1,72.2,83.1,72.2,72.1,Pass
9.3,78.3,69.6,59.0,62.5,74.0,63.6,61.3,Pass
5.9,68.4,45.7,58.3,47.9,51.4,50.4,52.3,Pass
8.3,75.3,65.5,46.3,60.4,61.0,57.7,51.8,Pass
4.5,70.7,41.1,31.9,38.0,51.4,37.1,46.2,Fail
7.0,65.0,56.4,47.7,54.7,52.4,53.1,50.2,Pass
6.1,59.2,44.3,41.4,52.6,44.1,46.8,38.2,Fail
8.1,63.7,58.7,47.9,51.9,55.8,52.7,63.8,Pass
5.1,57.4,35.4,36.8,43.0,55.4,38.9,44.5,Fail
8.4,55.2,57.7,39.7,47.0,29.8,48.0,37.3,Fail
5.1,74.9,46.4,53.4,50.8,57.3,50.3,55.6,Pass
10.9,58.0,63.1,53.3,62.1,61.4,59.8,73.3,Pass
5.4,81.4,58.2,67.4,56.5,50.0,60.3,47.8,Pass
1.3,57.3,42.9,22.8,45.5,40.5,37.9,24.2,Fail
3.3,61.7,45.5,55.7,53.0,31.5,51.6,22.0,Fail
6.7,55.9,40.8,46.3,45.8,44.5,44.4,43.8,Fail
16.1,82.4,88.8,71.2,80.4,93.9,80.2,100.0,Pass
10.7,70.8,61.6,46.3,57.0,45.6,55.2,60.4,Pass
1.1,61.8,39.7,26.9,38.1,38.5,35.2,24.7,Fail
2.3,56.5,52.6,45.5,44.3,50.2,47.2,34.8,Fail
12.5,78.8,61.5,38.2,75.6,78.6,60.2,66.5,Pass
9.6,64.9,58.3,36.2,59.8,60.7,52.3,60.4,Pass
20.9,85.7,88.9,67.9,93.8,86.1,84.6,83.6,Pass
5.0,69.7,49.1,54.0,42.9,56.9,48.1,49.8,Pass
3.8,76.2,52.6,48.5,54.3,41.6,52.0,39.8,Fail
7.0,74.8,51.8,40.0,51.7,52.5,48.2,63.3,Pass
4.9,66.6,49.2,38.2,62.2,45.6,51.1,46.4,Fail
11.9,74.2,67.1,60.9,81.4,57.0,71.0,71.3,Pass
4.8,68.3,61.0,51.8,64.1,59.3,59.5,53.0,Pass
5.6,72.9,66.3,36.4,50.4,48.7,51.0,47.6,Fail
3.4,58.1,45.6,38.2,50.0,39.1,45.1,39.9,Fail
10.3,79.6,74.1,54.5,51.1,59.6,59.0,63.3,Pass
3.6,56.8,38.4,36.2,51.8,33.3,43.1,24.1,Fail
8.5,73.9,77.2,44.1,63.8,63.4,61.9,62.3,Pass
17.6,85.5,78.9,77.0,71.4,93.1,75.3,89.3,Pass
1.7,56.7,40.1,25.9,45.3,60.6,37.9,51.9,Fail
14.8,65.4,73.5,64.8,69.9,70.3,69.4,67.1,Pass
7.9,67.4,62.8,63.3,56.4,52.5,60.4,40.8,Pass
3.0,42.6,37.4,41.6,42.5,44.4,40.7,40.3,Fail
7.1,67.1,38.3,59.9,60.6,61.4,53.7,33.8,Fail
10.1,62.1,64.1,55.6,63.3,56.8,61.2,64.9,Pass
3.9,89.6,47.4,56.2,39.9,55.4,47.0,54.5,Pass
8.8,79.0,67.5,37.9,66.5,73.5,58.2,60.2,Pass
15.5,79.2,80.8,53.6,71.5,67.2,68.9,73.9,Pass
4.8,76.4,54.1,35.6,58.0,41.8,50.1,33.7,Fail
3.4,69.7,54.9,31.5,52.5,46.4,46.9,33.6,Fail
6.2,58.1,45.9,52.6,48.2,42.1,48.8,44.5,Fail
6.9,63.3,63.8,32.4,54.9,43.8,50.8,50.4,Fail
12.2,82.9,70.6,50.4,59.4,81.5,60.1,71.2,Pass
6.0,59.5,48.4,42.0,61.7,50.8,51.8,41.9,Fail
5.1,69.3,60.1,44.8,55.7,47.5,53.8,45.4,Fail
3.3,69.4,42.1,47.5,49.3,36.8,46.6,41.9,Fail
1.9,60.2,25.0,31.8,41.8,39.3,33.8,32.9,Fail
2.7,64.5,34.8,35.4,31.2,50.2,33.5,41.8,Fail
2.7,69.9,57.9,46.4,55.8,30.7,53.6,30.8,Fail
5.7,73.1,55.3,37.7,52.1,39.0,48.7,27.8,Fail
2.2,66.2,45.6,37.5,45.9,45.2,43.3,42.7,Fail
6.4,67.6,60.4,51.1,51.0,46.4,53.8,27.5,Fail
17.4,85.6,82.8,71.3,75.2,79.0,76.3,77.6,Pass
12.4,58.7,60.2,64.7,59.5,59.0,61.3,64.3,Pass
5.6,78.5,51.2,39.2,54.3,58.3,48.8,44.7,Fail
23.7,87.4,84.2,100.0,95.8,100.0,93.6,100.0,Pass
6.9,62.4,44.0,42.9,48.6,53.8,45.5,59.9,Pass
7.5,73.8,58.5,46.0,58.0,51.6,54.6,38.6,Fail
6.1,71.9,52.5,33.2,52.6,42.8,46.8,46.5,Fail
6.5,60.0,54.9,34.2,42.7,42.2,43.8,30.5,Fail
4.7,66.2,48.6,34.6,49.7,37.1,44.8,36.5,Fail
5.7,67.1,43.0,34.2,50.9,44.3,43.5,37.9,Fail
14.9,77.7,75.1,56.6,70.9,76.5,67.9,65.7,Pass
